iteration, time, drag coeff, lift coeff, side force coeff, net force [x], net force [y], net force [z], net static pressure force [x], net static pressure force [y], net static pressure force [z] 
183, 0.00915, 0.456743, -0.160335, -2.5444e-05, 355.346, -0.0197954, -124.74, 313.717, -0.0156757, -125.6 
184, 0.0092, 0.456386, -0.160497, -2.12211e-05, 355.068, -0.01651, -124.867, 313.541, -0.0144595, -125.718 
185, 0.00925, 0.456053, -0.160646, -1.90044e-05, 354.809, -0.0147854, -124.982, 313.37, -0.0132895, -125.823 
186, 0.0093, 0.455714, -0.160779, -1.69424e-05, 354.545, -0.0131812, -125.086, 313.202, -0.0135562, -125.923 
187, 0.00935, 0.455383, -0.160906, -1.73071e-05, 354.288, -0.0134649, -125.185, 313.038, -0.0140477, -126.011 
188, 0.0094, 0.455054, -0.161019, -1.82723e-05, 354.032, -0.0142158, -125.273, 312.876, -0.0155951, -126.088 
189, 0.00945, 0.454717, -0.161118, -2.05727e-05, 353.77, -0.0160055, -125.35, 312.718, -0.015075, -126.155 
190, 0.0095, 0.454399, -0.161203, -2.01659e-05, 353.522, -0.0156891, -125.416, 312.561, -0.0149926, -126.206 
191, 0.00955, 0.454079, -0.161267, -2.01792e-05, 353.274, -0.0156994, -125.466, 312.404, -0.0141352, -126.245 
192, 0.0096, 0.453754, -0.161313, -1.9128e-05, 353.02, -0.0148816, -125.502, 312.25, -0.0138963, -126.273 
193, 0.00965, 0.453428, -0.161348, -1.87407e-05, 352.767, -0.0145802, -125.528, 312.101, -0.0142736, -126.296 
194, 0.0097, 0.45312, -0.161375, -1.90665e-05, 352.527, -0.0148338, -125.55, 311.958, -0.0145986, -126.308 
195, 0.00975, 0.45283, -0.16139, -1.92864e-05, 352.302, -0.0150048, -125.561, 311.815, -0.0158866, -126.316 
196, 0.0098, 0.452527, -0.161399, -2.09688e-05, 352.066, -0.0163137, -125.568, 311.679, -0.016122, -126.309 
197, 0.00985, 0.452253, -0.161391, -2.14611e-05, 351.852, -0.0166967, -125.562, 311.54, -0.01589, -126.3 
198, 0.0099, 0.45197, -0.161379, -2.12275e-05, 351.633, -0.016515, -125.552, 311.404, -0.014315, -126.275 
199, 0.00995, 0.451691, -0.161345, -1.91647e-05, 351.416, -0.0149101, -125.526, 311.261, -0.0153612, -126.235 
200, 0.01, 0.451381, -0.16129, -2.07594e-05, 351.174, -0.0161508, -125.484, 311.126, -0.0146979, -126.192 
201, 0.01005, 0.4511, -0.161233, -2.01398e-05, 350.956, -0.0156688, -125.439, 310.993, -0.0145018, -126.138 
202, 0.0101, 0.450822, -0.161161, -1.97622e-05, 350.74, -0.015375, -125.383, 310.862, -0.0136966, -126.081 
203, 0.01015, 0.450546, -0.161086, -1.82978e-05, 350.525, -0.0142357, -125.325, 310.736, -0.013982, -126.017 
204, 0.0102, 0.450286, -0.161003, -1.85464e-05, 350.322, -0.0144291, -125.261, 310.61, -0.0148672, -125.948 
205, 0.01025, 0.450027, -0.160915, -1.9907e-05, 350.121, -0.0154876, -125.192, 310.482, -0.0150464, -125.869 
206, 0.0103, 0.449764, -0.160814, -2.04681e-05, 349.917, -0.0159242, -125.113, 310.353, -0.0147089, -125.779 
207, 0.01035, 0.449495, -0.160697, -2.00622e-05, 349.707, -0.0156084, -125.022, 310.225, -0.013402, -125.676 
208, 0.0104, 0.449222, -0.160562, -1.82611e-05, 349.495, -0.0142072, -124.917, 310.095, -0.0125868, -125.568 
209, 0.01045, 0.448958, -0.16042, -1.6906e-05, 349.289, -0.0131529, -124.807, 309.967, -0.0122121, -125.453 
210, 0.0105, 0.448694, -0.160271, -1.61191e-05, 349.083, -0.0125406, -124.691, 309.843, -0.0117406, -125.33 
