iteration, time, drag coeff, lift coeff, side force coeff, net force [x], net force [y], net force [z], net static pressure force [x], net static pressure force [y], net static pressure force [z] 
200, 0.01, 0.485872, -0.138438, 3.93569e-05, 378.008, 0.0306197, -107.705, 341.901, 0.0291986, -108.333 
201, 0.01005, 0.485835, -0.13815, 3.09385e-05, 377.98, 0.0240702, -107.481, 341.946, 0.0097596, -108.116 
202, 0.0101, 0.485813, -0.137869, 1.21766e-05, 377.962, 0.00947342, -107.262, 341.989, 0.0156533, -107.908 
203, 0.01015, 0.485772, -0.137599, 2.09736e-05, 377.931, 0.0163175, -107.052, 342.024, 0.0268867, -107.691 
204, 0.0102, 0.485718, -0.137318, 3.84778e-05, 377.889, 0.0299357, -106.834, 342.057, 0.0441981, -107.478 
205, 0.01025, 0.48568, -0.137041, 6.02719e-05, 377.859, 0.0468915, -106.618, 342.084, 0.0608026, -107.266 
206, 0.0103, 0.485624, -0.136763, 7.83087e-05, 377.816, 0.0609242, -106.402, 342.108, 0.0682293, -107.039 
207, 0.01035, 0.48562, -0.136475, 8.55093e-05, 377.812, 0.0665262, -106.178, 342.134, 0.0659819, -106.835 
208, 0.0104, 0.485544, -0.136213, 7.98148e-05, 377.753, 0.0620959, -105.974, 342.147, 0.0527994, -106.631 
209, 0.01045, 0.485478, -0.135944, 7.0416e-05, 377.702, 0.0547836, -105.764, 342.149, 0.0584339, -106.419 
210, 0.0105, 0.485349, -0.135668, 7.88645e-05, 377.602, 0.0613566, -105.55, 342.136, 0.0601683, -106.212 
211, 0.01055, 0.485276, -0.135402, 7.81028e-05, 377.544, 0.060764, -105.343, 342.123, 0.0538551, -106.02 
212, 0.0106, 0.48519, -0.135157, 7.08112e-05, 377.478, 0.0550911, -105.152, 342.106, 0.0490075, -105.84 
213, 0.01065, 0.485096, -0.134926, 5.93572e-05, 377.404, 0.0461799, -104.972, 342.087, 0.0345132, -105.664 
214, 0.0107, 0.48497, -0.134698, 3.83404e-05, 377.307, 0.0298288, -104.795, 342.063, 0.0195571, -105.491 
215, 0.01075, 0.484865, -0.13447, 1.85501e-05, 377.225, 0.0144319, -104.618, 342.038, -0.000624207, -105.319 
216, 0.0108, 0.48476, -0.134243, 2.99768e-07, 377.143, 0.00023322, -104.441, 342.004, -0.00224753, -105.143 
