iteration, time, yplus_min, yplus_max, yplus_max_pos_x, yplus_max_pos_y, yplus_max_pos_z, yplus_prom 
189, 0.00945, 0.0268278, 85.2724, -2.45217, 0.161608, 0.00378844, 0.98251 
190, 0.0095, 0.0204751, 85.271, -2.45217, 0.161608, 0.00378844, 0.981602 
191, 0.00955, 0.0135493, 85.2701, -2.45217, 0.161608, 0.00378844, 0.980714 
192, 0.0096, 0.0234295, 85.2701, -2.45217, 0.161608, 0.00378844, 0.979741 
193, 0.00965, 0.0221233, 85.2681, -2.45217, 0.161608, 0.00378844, 0.978678 
194, 0.0097, 0.0183232, 85.267, -2.45217, 0.161608, 0.00378844, 0.977679 
195, 0.00975, 0.0263939, 85.2656, -2.45217, 0.161608, 0.00378844, 0.976733 
196, 0.0098, 0.0227658, 85.2661, -2.45217, 0.161608, 0.00378844, 0.975825 
197, 0.00985, 0.0234966, 85.2641, -2.45217, 0.161608, 0.00378844, 0.974956 
198, 0.0099, 0.0204143, 85.2634, -2.45217, 0.161608, 0.00378844, 0.974137 
199, 0.00995, 0.0211406, 85.2627, -2.45217, 0.161608, 0.00378844, 0.973295 
200, 0.01, 0.0207677, 85.2635, -2.45217, 0.161608, 0.00378844, 0.972402 
201, 0.01005, 0.0206874, 85.2616, -2.45217, 0.161608, 0.00378844, 0.971485 
202, 0.0101, 0.0124765, 85.2616, -2.45217, 0.161608, 0.00378844, 0.970602 
203, 0.01015, 0.00820586, 85.2593, -2.45217, 0.161608, 0.00378844, 0.96975 
204, 0.0102, 0.0157814, 85.2597, -2.45217, 0.161608, 0.00378844, 0.968903 
205, 0.01025, 0.0214791, 85.2592, -2.45217, 0.161608, 0.00378844, 0.96806 
206, 0.0103, 0.00557043, 85.2596, -2.45217, 0.161608, 0.00378844, 0.967169 
207, 0.01035, 0.0180556, 85.2581, -2.45217, 0.161608, 0.00378844, 0.966333 
208, 0.0104, 0.0113908, 85.2587, -2.45217, 0.161608, 0.00378844, 0.965469 
209, 0.01045, 0.0225662, 85.2581, -2.45217, 0.161608, 0.00378844, 0.964648 
210, 0.0105, 0.00740809, 85.2587, -2.45217, 0.161608, 0.00378844, 0.963818 
211, 0.01055, 0.0245659, 85.2569, -2.45217, 0.161608, 0.00378844, 0.963021 
212, 0.0106, 0.0207475, 85.2571, -2.45217, 0.161608, 0.00378844, 0.962249 
213, 0.01065, 0.0106734, 85.2558, -2.45217, 0.161608, 0.00378844, 0.961474 
214, 0.0107, 0.0246818, 85.2579, -2.45217, 0.161608, 0.00378844, 0.960632 
215, 0.01075, 0.013368, 85.2565, -2.45217, 0.161608, 0.00378844, 0.959859 
216, 0.0108, 0.0303787, 85.2581, -2.45217, 0.161608, 0.00378844, 0.959105 
217, 0.01085, 0.0317745, 85.2564, -2.45217, 0.161608, 0.00378844, 0.95832 
218, 0.0109, 0.0267426, 85.2568, -2.45217, 0.161608, 0.00378844, 0.957509 
219, 0.01095, 0.021543, 85.2567, -2.45217, 0.161608, 0.00378844, 0.956723 
220, 0.011, 0.0232107, 85.2572, -2.45217, 0.161608, 0.00378844, 0.955958 
221, 0.01105, 0.0295133, 85.258, -2.45217, 0.161608, 0.00378844, 0.955233 
222, 0.0111, 0.0195247, 85.257, -2.45217, 0.161608, 0.00378844, 0.954523 
223, 0.01115, 0.0190818, 85.2554, -2.45217, 0.161608, 0.00378844, 0.953763 
224, 0.0112, 0.0321411, 85.255, -2.45217, 0.161608, 0.00378844, 0.953029 
225, 0.01125, 0.0236968, 85.2554, -2.45217, 0.161608, 0.00378844, 0.952294 
226, 0.0113, 0.0077909, 85.2556, -2.45217, 0.161608, 0.00378844, 0.951585 
227, 0.01135, 0.0244781, 85.2558, -2.45217, 0.161608, 0.00378844, 0.950888 
228, 0.0114, 0.0325847, 85.2575, -2.45217, 0.161608, 0.00378844, 0.950203 
229, 0.01145, 0.0274793, 85.257, -2.45217, 0.161608, 0.00378844, 0.949498 
230, 0.0115, 0.0306373, 85.2602, -2.45217, 0.161608, 0.00378844, 0.948747 
231, 0.01155, 0.0167959, 85.2597, -2.45217, 0.161608, 0.00378844, 0.947932 
232, 0.0116, 0.0277122, 85.2578, -2.45217, 0.161608, 0.00378844, 0.947214 
233, 0.01165, 0.0200957, 85.2551, -2.45217, 0.161608, 0.00378844, 0.946536 
234, 0.0117, 0.0239318, 85.2566, -2.45217, 0.161608, 0.00378844, 0.945819 
235, 0.01175, 0.0276887, 85.2566, -2.45217, 0.161608, 0.00378844, 0.945127 
236, 0.0118, 0.0212372, 85.2559, -2.45217, 0.161608, 0.00378844, 0.944455 
237, 0.01185, 0.0280522, 85.2547, -2.45217, 0.161608, 0.00378844, 0.943761 
238, 0.0119, 0.00971569, 85.2578, -2.45217, 0.161608, 0.00378844, 0.943073 
239, 0.01195, 0.0297735, 85.2569, -2.45217, 0.161608, 0.00378844, 0.942383 
240, 0.012, 0.0151737, 85.2582, -2.45217, 0.161608, 0.00378844, 0.94172 
241, 0.01205, 0.0107037, 85.2585, -2.45217, 0.161608, 0.00378844, 0.941061 
242, 0.0121, 0.0267976, 85.2586, -2.45217, 0.161608, 0.00378844, 0.94039 
243, 0.01215, 0.0233502, 85.2589, -2.45217, 0.161608, 0.00378844, 0.939745 
244, 0.0122, 0.0187183, 85.2587, -2.45217, 0.161608, 0.00378844, 0.939112 
245, 0.01225, 0.0260812, 85.2595, -2.45217, 0.161608, 0.00378844, 0.938473 
246, 0.0123, 0.0317481, 85.2603, -2.45217, 0.161608, 0.00378844, 0.937786 
247, 0.01235, 0.0191193, 85.261, -2.45217, 0.161608, 0.00378844, 0.937132 
248, 0.0124, 0.0163777, 85.2598, -2.45217, 0.161608, 0.00378844, 0.93651 
249, 0.01245, 0.0118492, 85.262, -2.45217, 0.161608, 0.00378844, 0.935903 
250, 0.0125, 0.0127963, 85.2628, -2.45217, 0.161608, 0.00378844, 0.935301 
251, 0.01255, 0.0163567, 85.261, -2.45217, 0.161608, 0.00378844, 0.934655 
252, 0.0126, 0.0228698, 85.2613, -2.45217, 0.161608, 0.00378844, 0.933999 
253, 0.01265, 0.0277597, 85.2601, -2.45217, 0.161608, 0.00378844, 0.93336 
254, 0.0127, 0.0240071, 85.2632, -2.45217, 0.161608, 0.00378844, 0.932707 
255, 0.01275, 0.0184035, 85.2634, -2.45217, 0.161608, 0.00378844, 0.932091 
256, 0.0128, 0.0166014, 85.2641, -2.45217, 0.161608, 0.00378844, 0.931511 
257, 0.01285, 0.0185333, 85.262, -2.45217, 0.161608, 0.00378844, 0.930943 
